year,lgID,tmID,playoff,made_playoff,,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm
1951,NHL,BOS,SF,1,,70,25,29,16,,66,0.94,,,162,176,601,8.6,,,,,,2.31,2.51
1951,NHL,CHI,,0,,70,17,44,9,,43,0.61,,,158,241,629,9.0,,,,,,2.26,3.44
1951,NHL,DET,SC,1,,70,44,14,12,,100,1.43,,,215,133,694,9.9,,,,,,3.07,1.9
1951,NHL,MTL,F,1,,70,34,26,10,,78,1.11,,,195,164,661,9.4,,,,,,2.79,2.34
1951,NHL,NYR,,0,,70,23,34,13,,59,0.84,,,192,219,530,7.6,,,,,,2.74,3.13
1951,NHL,TOR,SF,1,,70,29,25,16,,74,1.06,,,168,157,841,12.0,,,,,,2.4,2.24
1952,NHL,BOS,F,1,,70,28,29,13,,69,0.99,,,152,172,528,7.5,,,,,,2.17,2.46
1952,NHL,CHI,SF,1,,70,27,28,15,,69,0.99,,,169,175,736,10.5,,,,,,2.41,2.5
1952,NHL,DET,SF,1,,70,36,16,18,,90,1.29,,,222,133,645,9.2,,,,,,3.17,1.9
1952,NHL,MTL,SC,1,,70,28,23,19,,75,1.07,,,155,148,777,11.1,,,,,,2.21,2.11
1952,NHL,NYR,,0,,70,17,37,16,,50,0.71,,,152,211,548,7.8,,,,,,2.17,3.01
1952,NHL,TOR,,0,,70,27,30,13,,67,0.96,,,156,167,812,11.6,,,,,,2.23,2.39
1953,NHL,BOS,SF,1,,70,32,28,10,,74,1.06,,,177,181,693,9.9,,,,,,2.53,2.59
1953,NHL,CHI,,0,,70,12,51,7,,31,0.44,,,133,242,787,11.2,,,,,,1.9,3.46
1953,NHL,DET,SC,1,,70,37,19,14,,88,1.26,,,191,132,814,11.6,,,,,,2.73,1.89
1953,NHL,MTL,F,1,,70,35,24,11,,81,1.16,,,195,141,1064,15.2,,,,,,2.79,2.01
1953,NHL,NYR,,0,,70,29,31,10,,68,0.97,,,161,182,717,10.2,,,,,,2.3,2.6
1953,NHL,TOR,SF,1,,70,32,24,14,,78,1.11,,,152,131,1022,14.6,,,,,,2.17,1.87
1954,NHL,BOS,SF,1,,70,23,26,21,,67,0.96,,,169,188,863,12.3,,,,,,2.41,2.69
1954,NHL,CHI,,0,,70,13,40,17,,43,0.61,,,161,235,733,10.5,,,,,,2.3,3.36
1954,NHL,DET,SC,1,,70,42,17,11,,95,1.36,,,204,134,827,11.8,,,,,,2.91,1.91
1954,NHL,MTL,F,1,,70,41,18,11,,93,1.33,,,228,157,890,12.7,,,,,,3.26,2.24
1954,NHL,NYR,,0,,70,17,35,18,,52,0.74,,,150,210,692,9.9,,,,,,2.14,3
1954,NHL,TOR,SF,1,,70,24,24,22,,70,1.00,,,147,135,990,14.1,,,,,,2.1,1.93
1955,NHL,BOS,,0,,70,23,34,13,,59,0.84,,,147,185,929,13.3,,,,,,2.1,2.64
1955,NHL,CHI,,0,,70,19,39,12,,50,0.71,,,155,216,832,11.9,,,,,,2.21,3.09
1955,NHL,DET,F,1,,70,30,24,16,,76,1.09,,,183,148,788,11.3,,,,,,2.61,2.11
1955,NHL,MTL,SC,1,,70,45,15,10,,100,1.43,,,222,131,977,14.0,,,,,,3.17,1.87
1955,NHL,NYR,SF,1,,70,32,28,10,,74,1.06,,,204,203,911,13.0,,,,,,2.91,2.9
1955,NHL,TOR,SF,1,,70,24,33,13,,61,0.87,,,153,181,1051,15.0,,,,,,2.19,2.59
1956,NHL,BOS,F,1,,70,34,24,12,,80,1.14,,,195,174,978,14.0,,,,,,2.79,2.49
1956,NHL,CHI,,0,,70,16,39,15,,47,0.67,,,169,225,809,11.6,,,,,,2.41,3.21
1956,NHL,DET,SF,1,,70,38,20,12,,88,1.26,,,198,157,656,9.4,,,,,,2.83,2.24
1956,NHL,MTL,SC,1,,70,35,23,12,,82,1.17,,,210,155,868,12.4,,,,,,3,2.21
1956,NHL,NYR,SF,1,,70,26,30,14,,66,0.94,,,184,227,870,12.4,,,,,,2.63,3.24
1956,NHL,TOR,,0,,70,21,34,15,,57,0.81,,,174,192,829,11.8,,,,,,2.49,2.74
1957,NHL,BOS,F,1,,70,27,28,15,,69,0.99,,,199,194,849,12.1,,,,,,2.84,2.77
1957,NHL,CHI,,0,,70,24,39,7,,55,0.79,,,163,202,906,12.9,,,,,,2.33,2.89
1957,NHL,DET,SF,1,,70,29,29,12,,70,1.00,,,176,207,758,10.8,,,,,,2.51,2.96
1957,NHL,MTL,SC,1,,70,43,17,10,,96,1.37,,,250,158,945,13.5,,,,,,3.57,2.26
1957,NHL,NYR,SF,1,,70,32,25,13,,77,1.10,,,195,188,781,11.2,,,,,,2.79,2.69
1957,NHL,TOR,,0,,70,21,38,11,,53,0.76,,,192,226,861,12.3,,,,,,2.74,3.23
1958,NHL,BOS,SF,1,,70,32,29,9,,73,1.04,,,205,215,838,12.0,,,,,,2.93,3.07
1958,NHL,CHI,SF,1,,70,28,29,13,,69,0.99,,,197,208,921,13.2,,,,,,2.81,2.97
1958,NHL,DET,,0,,70,25,37,8,,58,0.83,,,167,218,613,8.8,,,,,,2.39,3.11
1958,NHL,MTL,SC,1,,70,39,18,13,,91,1.30,,,258,158,760,10.9,,,,,,3.69,2.26
1958,NHL,NYR,,0,,70,26,32,12,,64,0.91,,,201,217,860,12.3,,,,,,2.87,3.1
1958,NHL,TOR,F,1,,70,27,32,11,,65,0.93,,,189,201,846,12.1,,,,,,2.7,2.87
1959,NHL,BOS,,0,,70,28,34,8,,64,0.91,,,220,241,932,13.3,,,,,,3.14,3.44
1959,NHL,CHI,SF,1,,70,28,29,13,,69,0.99,,,191,180,970,13.9,,,,,,2.73,2.57
1959,NHL,DET,SF,1,,70,26,29,15,,67,0.96,,,186,197,538,7.7,,,,,,2.66,2.81
1959,NHL,MTL,SC,1,,70,40,18,12,,92,1.31,,,255,178,756,10.8,,,,,,3.64,2.54
1959,NHL,NYR,,0,,70,17,38,15,,49,0.70,,,187,247,850,12.1,,,,,,2.67,3.53
1959,NHL,TOR,F,1,,70,35,26,9,,79,1.13,,,199,195,859,12.3,,,,,,2.84,2.79
1960,NHL,BOS,,0,,70,15,42,13,,43,0.61,,,176,254,810,11.6,,,,,,2.51,3.63
1960,NHL,CHI,SC,1,,70,29,24,17,,75,1.07,,,198,180,1072,15.3,,,,,,2.83,2.57
1960,NHL,DET,F,1,,70,25,29,16,,66,0.94,,,195,215,655,9.4,,,,,,2.79,3.07
1960,NHL,MTL,SF,1,,70,41,19,10,,92,1.31,,,254,188,811,11.6,,,,,,3.63,2.69
1960,NHL,NYR,,0,,70,22,38,10,,54,0.77,,,204,248,591,8.4,,,,,,2.91,3.54
1960,NHL,TOR,SF,1,,70,39,19,12,,90,1.29,,,234,176,844,12.1,,,,,,3.34,2.51
1961,NHL,BOS,,0,,70,15,47,8,,38,0.54,,,177,306,712,10.2,,,,,,2.53,4.37
1961,NHL,CHI,F,1,,70,31,26,13,,75,1.07,,,217,186,894,12.8,,,,,,3.1,2.66
1961,NHL,DET,,0,,70,23,33,14,,60,0.86,,,184,219,712,10.2,,,,,,2.63,3.13
1961,NHL,MTL,SF,1,,70,42,14,14,,98,1.40,,,259,166,818,11.7,,,,,,3.7,2.37
1961,NHL,NYR,SF,1,,70,26,32,12,,64,0.91,,,195,207,644,9.2,,,,,,2.79,2.96
1961,NHL,TOR,SC,1,,70,37,22,11,,85,1.21,,,232,180,762,10.9,,,,,,3.31,2.57
1962,NHL,BOS,,0,,70,14,39,17,,45,0.64,,,198,281,636,9.1,,,,,,2.83,4.01
1962,NHL,CHI,SF,1,,70,32,21,17,,81,1.16,,,194,178,906,12.9,,,,,,2.77,2.54
1962,NHL,DET,F,1,,70,32,25,13,,77,1.10,,,200,194,964,13.8,,,,,,2.86,2.77
1962,NHL,MTL,SF,1,,70,28,19,23,,79,1.13,,,225,183,751,10.7,,,,,,3.21,2.61
1962,NHL,NYR,,0,,70,22,36,12,,56,0.80,,,211,233,657,9.4,,,,,,3.01,3.33
1962,NHL,TOR,SC,1,,70,35,23,12,,82,1.17,,,221,180,816,11.7,,,,,,3.16,2.57
1963,NHL,BOS,,0,,70,18,40,12,,48,0.69,,,170,212,858,12.3,28,220,4,45,242,2.43,3.03
1963,NHL,CHI,SF,1,,70,36,22,12,,84,1.20,,,218,169,1116,15.9,51,279,2,43,301,3.11,2.41
1963,NHL,DET,F,1,,70,30,29,11,,71,1.01,,,191,204,771,11.0,42,240,5,36,267,2.73,2.91
1963,NHL,MTL,SF,1,,70,36,21,13,,85,1.21,,,209,167,982,14.0,46,294,7,42,248,2.99,2.39
1963,NHL,NYR,,0,,70,22,38,10,,54,0.77,,,186,242,715,10.2,40,253,6,44,206,2.66,3.46
1963,NHL,TOR,SC,1,,70,33,25,12,,78,1.11,,,192,172,928,13.3,33,244,6,30,266,2.74,2.46
1964,NHL,BOS,,0,,70,21,43,6,,48,0.69,,,166,253,946,13.5,25,254,10,52,293,2.37,3.61
1964,NHL,CHI,F,1,,70,34,28,8,,76,1.09,,,224,176,1051,15.0,48,340,9,46,323,3.2,2.51
1964,NHL,DET,SF,1,,70,40,23,7,,87,1.24,,,224,175,1121,16.0,55,316,7,52,312,3.2,2.5
1964,NHL,MTL,SC,1,,70,36,23,11,,83,1.19,,,211,185,1033,14.8,57,328,8,42,301,3.01,2.64
1964,NHL,NYR,,0,,70,20,38,12,,52,0.74,,,179,246,760,10.9,55,321,9,43,267,2.56,3.51
1964,NHL,TOR,SF,1,,70,30,26,14,,74,1.06,,,204,173,1068,15.3,51,280,12,56,343,2.91,2.47
1965,NHL,BOS,,0,,70,21,43,6,,48,0.69,,,174,275,787,11.2,30,255,6,53,252,2.49,3.93
1965,NHL,CHI,SF,1,,70,37,25,8,,82,1.17,,,240,187,815,11.6,70,281,4,40,251,3.43,2.67
1965,NHL,DET,F,1,,70,31,27,12,,74,1.06,,,221,194,804,11.5,42,245,9,44,273,3.16,2.77
1965,NHL,MTL,SC,1,,70,41,21,8,,90,1.29,,,239,173,884,12.6,61,260,3,46,247,3.41,2.47
1965,NHL,NYR,,0,,70,18,41,11,,47,0.67,,,195,261,894,12.8,44,282,2,63,282,2.79,3.73
1965,NHL,TOR,SF,1,,70,34,25,11,,79,1.13,,,208,187,811,11.6,52,256,4,53,274,2.97,2.67
1966,NHL,BOS,,0,,70,17,43,10,,44,0.63,,,182,253,764,10.9,34,250,9,53,240,2.6,3.61
1966,NHL,CHI,SF,1,,70,41,17,12,,94,1.34,,,264,170,757,10.8,51,232,3,37,234,3.77,2.43
1966,NHL,DET,,0,,70,27,39,4,,58,0.83,,,212,241,719,10.3,46,230,7,46,246,3.03,3.44
1966,NHL,MTL,F,1,,70,32,25,13,,77,1.10,,,202,188,879,12.6,50,248,4,31,237,2.89,2.69
1966,NHL,NYR,SF,1,,70,30,28,12,,72,1.03,,,188,189,664,9.5,35,199,4,30,199,2.69,2.7
1966,NHL,TOR,SC,1,,70,32,27,11,,75,1.07,,,204,211,736,10.5,37,237,6,56,240,2.91,3.01
1967,NHL,BOS,QF,1,,74,37,27,10,,84,1.14,,,259,216,1031,13.9,45,236,4,50,288,3.5,2.92
1967,NHL,CHI,SF,1,,74,32,26,16,,80,1.08,,,212,222,602,8.1,37,234,6,37,218,2.86,3
1967,NHL,DET,,0,,74,27,35,12,,66,0.89,,,245,257,753,10.2,43,224,5,54,270,3.31,3.47
1967,NHL,LAK,QF,1,,74,31,33,10,,72,0.97,,,200,224,808,10.9,33,241,3,54,274,2.7,3.03
1967,NHL,MNS,SF,1,,74,27,32,15,,69,0.93,,,191,226,714,9.6,55,261,8,29,216,2.58,3.05
1967,NHL,MTL,SC,1,,74,42,22,10,,94,1.27,,,236,167,698,9.4,50,245,3,34,205,3.19,2.26
1967,NHL,NYR,QF,1,,74,39,23,12,,90,1.22,,,226,183,669,9.0,46,217,7,42,223,3.05,2.47
1967,NHL,OAK,,0,,74,15,42,17,,47,0.64,,,153,219,777,10.5,41,259,6,45,259,2.07,2.96
1967,NHL,PHI,QF,1,,74,31,32,11,,73,0.99,,,173,179,979,13.2,33,269,2,49,290,2.34,2.42
1967,NHL,PIT,,0,,74,27,34,13,,67,0.91,,,195,216,548,7.4,37,273,11,30,195,2.64,2.92
1967,NHL,STL,F,1,,74,27,31,16,,70,0.95,,,177,191,790,10.7,38,223,7,39,245,2.39,2.58
1967,NHL,TOR,,0,,74,33,31,10,,76,1.03,,,209,176,626,8.5,33,231,8,28,230,2.82,2.38
1968,NHL,BOS,SF,1,,76,42,18,16,,100,1.32,,,303,221,1291,17.0,60,266,4,54,351,3.99,2.91
1968,NHL,CHI,,0,,76,34,33,9,,77,1.01,,,280,246,832,10.9,56,280,3,50,274,3.68,3.24
1968,NHL,DET,,0,,76,33,31,12,,78,1.03,,,239,221,885,11.6,40,230,4,61,298,3.14,2.91
1968,NHL,LAK,SF,1,,76,24,42,10,,58,0.76,,,185,260,688,9.1,31,241,7,53,254,2.43,3.42
1968,NHL,MNS,,0,,76,18,43,15,,51,0.67,,,189,270,854,11.2,47,246,8,41,249,2.49,3.55
1968,NHL,MTL,SC,1,,76,46,19,11,,103,1.36,,,271,202,776,10.2,43,243,4,40,233,3.57,2.66
1968,NHL,NYR,QF,1,,76,41,26,9,,91,1.20,,,231,196,806,10.6,56,275,9,35,223,3.04,2.58
1968,NHL,OAK,QF,1,,76,29,36,11,,69,0.91,,,219,251,807,10.6,44,286,5,42,226,2.88,3.3
1968,NHL,PHI,QF,1,,76,20,35,21,,61,0.80,,,174,225,954,12.6,40,263,8,44,286,2.29,2.96
1968,NHL,PIT,,0,,76,20,45,11,,51,0.67,,,189,252,669,8.8,50,303,9,38,231,2.49,3.32
1968,NHL,STL,F,1,,76,37,25,14,,88,1.16,,,204,157,824,10.8,38,250,6,45,242,2.68,2.07
1968,NHL,TOR,QF,1,,76,35,26,15,,85,1.12,,,234,217,950,12.5,45,278,5,46,294,3.08,2.86
1969,NHL,BOS,SC,1,,76,40,17,19,,99,1.30,,,277,216,1196,15.7,81,279,4,80,360,3.64,2.84
1969,NHL,CHI,SF,1,,76,45,22,9,,99,1.30,,,250,170,901,11.9,55,270,7,32,247,3.29,2.24
1969,NHL,DET,QF,1,,76,40,21,15,,95,1.25,,,246,199,907,11.9,57,267,3,57,300,3.24,2.62
1969,NHL,LAK,,0,,76,14,52,10,,38,0.50,,,168,290,969,12.8,39,275,11,67,297,2.21,3.82
1969,NHL,MNS,QF,1,,76,19,35,22,,60,0.79,,,224,257,1008,13.3,57,274,7,65,284,2.95,3.38
1969,NHL,MTL,,0,,76,38,22,16,,92,1.21,,,244,201,892,11.7,57,281,1,48,263,3.21,2.64
1969,NHL,NYR,QF,1,,76,38,22,16,,92,1.21,,,246,189,853,11.2,52,295,7,40,269,3.24,2.49
1969,NHL,OAK,QF,1,,76,22,40,14,,58,0.76,,,169,243,845,11.1,45,324,12,49,258,2.22,3.2
1969,NHL,PHI,,0,,76,17,35,24,,58,0.76,,,197,225,1123,14.8,46,296,9,58,311,2.59,2.96
1969,NHL,PIT,SF,1,,76,26,38,12,,64,0.84,,,182,238,1038,13.7,53,315,5,66,282,2.39,3.13
1969,NHL,STL,F,1,,76,37,27,12,,86,1.13,,,224,179,876,11.5,72,287,9,41,265,2.95,2.36
1969,NHL,TOR,,0,,76,29,34,13,,71,0.93,,,222,242,898,11.8,49,242,7,60,269,2.92,3.18
1970,NHL,BOS,QF,1,,78,57,14,7,,121,1.55,,,399,207,1156,14.8,80,289,4,53,336,5.12,2.65
1970,NHL,BUF,,0,,78,24,39,15,,63,0.81,,,217,291,1188,15.2,56,298,12,56,302,2.78,3.73
1970,NHL,CHI,F,1,,78,49,20,9,,107,1.37,,,277,184,1280,16.4,60,291,6,47,293,3.55,2.36
1970,NHL,CLF,,0,,78,20,53,5,,45,0.58,,,199,320,937,12.0,39,316,7,58,254,2.55,4.1
1970,NHL,DET,,0,,78,22,45,11,,55,0.71,,,209,308,988,12.7,48,245,10,66,284,2.68,3.95
1970,NHL,LAK,,0,,78,25,40,13,,63,0.81,,,239,303,775,9.9,41,267,10,53,227,3.06,3.88
1970,NHL,MNS,SF,1,,78,28,34,16,,72,0.92,,,191,223,898,11.5,38,259,4,55,268,2.45,2.86
1970,NHL,MTL,SC,1,,78,42,23,13,,97,1.24,,,291,216,1271,16.3,71,286,6,49,319,3.73,2.77
1970,NHL,NYR,SF,1,,78,49,18,11,,109,1.40,,,259,177,952,12.2,60,234,3,41,253,3.32,2.27
1970,NHL,PHI,QF,1,,78,28,33,17,,73,0.94,,,207,225,1060,13.6,42,272,8,50,305,2.65,2.88
1970,NHL,PIT,,0,,78,21,37,20,,62,0.79,,,221,240,1079,13.8,56,318,9,48,276,2.83,3.08
1970,NHL,STL,QF,1,,78,34,25,19,,87,1.12,,,223,208,1092,14.0,56,312,8,49,285,2.86,2.67
1970,NHL,TOR,QF,1,,78,37,33,8,,82,1.05,,,248,211,1133,14.5,53,290,6,46,283,3.18,2.71
1970,NHL,VAN,,0,,78,24,46,8,,56,0.72,,,229,296,1371,17.6,52,317,12,81,309,2.94,3.79
1971,NHL,BOS,SC,1,,78,54,13,11,,119,1.53,,,330,204,1112,14.3,74,256,2,51,290,4.23,2.62
1971,NHL,BUF,,0,,78,16,43,19,,51,0.65,,,203,289,831,10.7,57,308,7,56,281,2.6,3.71
1971,NHL,CHI,SF,1,,78,46,17,15,,107,1.37,,,256,166,844,10.8,43,255,10,35,240,3.28,2.13
1971,NHL,CLF,,0,,78,21,39,18,,60,0.77,,,216,288,1007,12.9,44,278,6,55,259,2.77,3.69
1971,NHL,DET,,0,,78,33,35,10,,76,0.97,,,261,262,850,10.9,58,280,9,45,261,3.35,3.36
1971,NHL,LAK,,0,,78,20,49,9,,49,0.63,,,206,305,719,9.2,38,272,7,50,210,2.64,3.91
1971,NHL,MNS,QF,1,,78,37,29,12,,86,1.10,,,212,191,853,10.9,53,262,6,49,277,2.72,2.45
1971,NHL,MTL,QF,1,,78,46,16,16,,108,1.38,,,307,205,783,10.0,72,266,4,41,245,3.94,2.63
1971,NHL,NYR,F,1,,78,48,17,13,,109,1.40,,,317,192,1010,12.9,60,257,10,44,282,4.06,2.46
1971,NHL,PHI,,0,,78,26,38,14,,66,0.85,,,200,236,1233,15.8,52,268,10,53,324,2.56,3.03
1971,NHL,PIT,QF,1,,78,26,38,14,,66,0.85,,,220,258,978,12.5,46,286,7,55,246,2.82,3.31
1971,NHL,STL,SF,1,,78,28,39,11,,67,0.86,,,208,247,1150,14.7,38,270,11,65,280,2.67,3.17
1971,NHL,TOR,QF,1,,78,33,31,14,,80,1.03,,,209,208,887,11.4,48,252,7,60,266,2.68,2.67
1971,NHL,VAN,,0,,78,20,50,8,,48,0.62,,,203,297,1092,14.0,48,261,9,72,310,2.6,3.81
1972,NHL,ATF,,0,,78,25,38,15,,65,0.83,,,191,239,852,10.9,38,265,5,48,266,2.45,3.06
1972,NHL,BOS,QF,1,,78,51,22,5,,107,1.37,,,330,235,1097,14.1,67,241,5,43,275,4.23,3.01
1972,NHL,BUF,QF,1,,78,37,27,14,,88,1.13,,,257,219,940,12.1,52,270,5,35,241,3.29,2.81
1972,NHL,CHI,F,1,,78,42,27,9,,93,1.19,,,284,225,864,11.1,52,244,4,51,255,3.64,2.88
1972,NHL,CLF,,0,,78,16,46,16,,48,0.62,,,213,323,840,10.8,41,250,4,56,242,2.73,4.14
1972,NHL,DET,,0,,78,37,29,12,,86,1.10,,,265,243,893,11.4,53,268,8,40,261,3.4,3.12
1972,NHL,LAK,,0,,78,31,36,11,,73,0.94,,,232,245,888,11.4,52,295,10,31,229,2.97,3.14
1972,NHL,MNS,QF,1,,78,37,30,11,,85,1.09,,,254,230,881,11.3,37,237,7,59,265,3.26,2.95
1972,NHL,MTL,SC,1,,78,52,10,16,,120,1.54,,,329,184,783,10.0,52,239,4,37,235,4.22,2.36
1972,NHL,NYI,,0,,78,12,60,6,,30,0.38,,,170,347,881,11.3,28,258,13,63,261,2.18,4.45
1972,NHL,NYR,SF,1,,78,47,23,8,,102,1.31,,,297,208,765,9.8,54,238,5,39,250,3.81,2.67
1972,NHL,PHI,SF,1,,78,37,30,11,,85,1.09,,,296,256,1756,22.5,74,257,4,68,360,3.79,3.28
1972,NHL,PIT,,0,,78,32,37,9,,73,0.94,,,257,265,866,11.1,52,301,7,49,264,3.29,3.4
1972,NHL,STL,QF,1,,78,32,34,12,,76,0.97,,,233,251,1195,15.3,37,251,1,51,272,2.99,3.22
1972,NHL,TOR,,0,,78,27,41,10,,64,0.82,,,247,279,716,9.2,44,274,8,51,239,3.17,3.58
1972,NHL,VAN,,0,,78,22,47,9,,53,0.68,,,233,339,943,12.1,47,282,6,59,255,2.99,4.35
1973,NHL,ATF,QF,1,,78,30,34,14,,74,0.95,,,214,238,841,10.8,44,264,6,46,223,2.74,3.05
1973,NHL,BOS,F,1,,78,52,17,9,,113,1.45,,,349,221,968,12.4,65,225,2,48,258,4.47,2.83
1973,NHL,BUF,,0,,78,32,34,12,,76,0.97,,,242,250,787,10.1,48,256,12,42,237,3.1,3.21
1973,NHL,CHI,SF,1,,78,41,14,23,,105,1.35,,,272,164,877,11.2,55,255,5,26,208,3.49,2.1
1973,NHL,CLF,,0,,78,13,55,10,,36,0.46,,,195,342,651,8.3,34,268,14,46,221,2.5,4.38
1973,NHL,DET,,0,,78,29,39,10,,68,0.87,,,255,319,917,11.8,59,274,13,49,238,3.27,4.09
1973,NHL,LAK,QF,1,,78,33,33,12,,78,1.00,,,233,231,1055,13.5,43,284,9,48,246,2.99,2.96
1973,NHL,MNS,,0,,78,23,38,17,,63,0.81,,,235,275,821,10.5,37,207,5,51,254,3.01,3.53
1973,NHL,MTL,QF,1,,78,45,24,9,,99,1.27,,,293,240,761,9.8,51,254,7,51,217,3.76,3.08
1973,NHL,NYI,,0,,78,19,41,18,,56,0.72,,,182,247,1075,13.8,32,230,13,63,262,2.33,3.17
1973,NHL,NYR,SF,1,,78,40,24,14,,94,1.21,,,300,251,782,10.0,66,222,2,45,239,3.85,3.22
1973,NHL,PHI,SC,1,,78,50,16,12,,112,1.44,,,273,164,1750,22.4,60,269,6,49,422,3.5,2.1
1973,NHL,PIT,,0,,78,28,41,9,,65,0.83,,,242,273,950,12.2,47,276,4,47,245,3.1,3.5
1973,NHL,STL,,0,,78,26,40,12,,64,0.82,,,206,248,1147,14.7,39,275,9,56,313,2.64,3.18
1973,NHL,TOR,QF,1,,78,35,27,16,,86,1.10,,,274,230,903,11.6,51,280,7,49,266,3.51,2.95
1973,NHL,VAN,,0,,78,24,43,11,,59,0.76,,,224,296,952,12.2,55,279,8,70,269,2.87,3.79
1974,NHL,ATF,,0,,80,34,31,15,,83,1.04,,,243,233,915,11.4,56,283,9,56,270,3.04,2.91
1974,NHL,BOS,PRE,1,,80,40,26,14,,94,1.18,,,345,245,1153,14.4,86,299,10,59,316,4.31,3.06
1974,NHL,BUF,F,1,,80,49,16,15,,113,1.41,,,354,240,1229,15.4,83,303,5,56,326,4.42,3
1974,NHL,CHI,QF,1,,80,37,35,8,,82,1.03,,,268,241,1112,13.9,71,327,7,62,311,3.35,3.01
1974,NHL,CLF,,0,,80,19,48,13,,51,0.64,,,212,316,1101,13.8,48,359,13,67,267,2.65,3.95
1974,NHL,DET,,0,,80,23,45,12,,58,0.73,,,259,335,1078,13.5,76,355,14,69,339,3.24,4.19
1974,NHL,KCS,,0,,80,15,54,11,,41,0.51,,,184,328,744,9.3,57,351,6,53,233,2.3,4.1
1974,NHL,LAK,PRE,1,,80,42,17,21,,105,1.31,,,269,185,1185,14.8,52,288,7,48,327,3.36,2.31
1974,NHL,MNS,,0,,80,23,50,7,,53,0.66,,,221,341,1106,13.8,45,293,10,81,303,2.76,4.26
1974,NHL,MTL,SF,1,,80,47,14,19,,113,1.41,,,374,225,1155,14.4,92,350,10,54,314,4.68,2.81
1974,NHL,NYI,SF,1,,80,33,25,22,,88,1.10,,,264,221,1116,14.0,51,273,7,55,340,3.3,2.76
1974,NHL,NYR,PRE,1,,80,37,29,14,,88,1.10,,,319,276,1053,13.2,84,296,7,54,295,3.99,3.45
1974,NHL,PHI,SC,1,,80,51,18,11,,113,1.41,,,293,181,1969,24.6,64,257,6,74,466,3.66,2.26
1974,NHL,PIT,QF,1,,80,37,28,15,,89,1.11,,,326,289,1119,14.0,64,323,11,63,324,4.08,3.61
1974,NHL,STL,PRE,1,,80,35,31,14,,84,1.05,,,269,267,1275,15.9,50,286,5,77,329,3.36,3.34
1974,NHL,TOR,QF,1,,80,31,33,16,,78,0.98,,,280,309,1079,13.5,60,340,10,76,304,3.5,3.86
1974,NHL,VAN,QF,1,,80,38,32,10,,86,1.08,,,271,254,965,12.1,70,337,5,59,300,3.39,3.18
1974,NHL,WAS,,0,,80,8,67,5,,21,0.26,,,181,446,1085,13.6,48,372,18,94,328,2.26,5.58
1975,NHL,ATF,PRE,1,,80,35,33,12,,82,1.03,,,262,237,928,11.6,56,292,5,43,277,3.28,2.96
1975,NHL,BOS,SF,1,,80,48,15,17,,113,1.41,,,313,237,1195,14.9,77,289,6,56,345,3.91,2.96
1975,NHL,BUF,QF,1,,80,46,21,13,,105,1.31,,,339,240,943,11.8,73,287,8,51,304,4.24,3
1975,NHL,CHI,QF,1,,80,32,30,18,,82,1.03,,,254,261,944,11.8,72,341,8,53,305,3.18,3.26
1975,NHL,CLF,,0,,80,27,42,11,,65,0.81,,,250,278,1058,13.2,71,382,10,52,262,3.12,3.48
1975,NHL,DET,,0,,80,26,44,10,,62,0.78,,,226,300,1922,24.0,47,307,6,86,422,2.82,3.75
1975,NHL,KCS,,0,,80,12,56,12,,36,0.45,,,190,351,984,12.3,46,352,17,80,295,2.38,4.39
1975,NHL,LAK,QF,1,,80,38,33,9,,85,1.06,,,263,265,1022,12.8,61,334,12,55,298,3.29,3.31
1975,NHL,MNS,,0,,80,20,53,7,,47,0.59,,,195,303,1191,14.9,48,331,16,82,309,2.44,3.79
1975,NHL,MTL,SC,1,,80,58,11,11,,127,1.59,,,337,174,977,12.2,75,282,0,44,290,4.21,2.17
1975,NHL,NYI,SF,1,,80,42,21,17,,101,1.26,,,297,190,1277,16.0,92,290,4,55,377,3.71,2.38
1975,NHL,NYR,,0,,80,29,42,9,,67,0.84,,,262,333,911,11.4,67,323,11,68,277,3.28,4.16
1975,NHL,PHI,F,1,,80,51,13,16,,118,1.48,,,348,209,1980,24.8,83,290,4,83,480,4.35,2.61
1975,NHL,PIT,PRE,1,,80,35,33,12,,82,1.03,,,339,303,1004,12.6,75,307,13,68,292,4.24,3.79
1975,NHL,STL,PRE,1,,80,29,37,14,,72,0.90,,,249,290,1274,15.9,55,298,3,98,376,3.11,3.62
1975,NHL,TOR,QF,1,,80,34,31,15,,83,1.04,,,294,276,1368,17.1,67,348,9,77,321,3.68,3.45
1975,NHL,VAN,PRE,1,,80,33,32,15,,81,1.01,,,271,272,1122,14.0,68,345,9,71,291,3.39,3.4
1975,NHL,WAS,,0,,80,11,59,10,,32,0.40,,,224,394,951,11.9,53,375,3,64,252,2.8,4.92
1976,NHL,ATF,PRE,1,,80,34,34,12,,80,1.00,,,264,265,889,11.1,42,214,6,50,248,3.3,3.31
1976,NHL,BOS,F,1,,80,49,23,8,,106,1.33,,,312,240,1065,13.3,46,217,10,41,272,3.9,3
1976,NHL,BUF,QF,1,,80,48,24,8,,104,1.30,,,301,220,848,10.6,60,262,7,38,274,3.76,2.75
1976,NHL,CHI,PRE,1,,80,26,43,11,,63,0.79,,,240,298,1104,13.8,59,267,9,62,282,3,3.72
