year,lgID,tmID,playoff,made_playoff,,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm
1927,NHL,NYR,SC,1,,44,19,16,9,,47,1.07,,,94,79,463,10.5,,,,,,2.14,1.8
1927,NHL,OTS,QF,1,,44,20,14,10,,50,1.14,,,78,57,483,11.0,,,,,,1.77,1.3
1927,NHL,PIP,QF,1,,44,19,17,8,,46,1.05,,,67,76,424,9.6,,,,,,1.52,1.73
1927,NHL,TOR,,0,,44,18,18,8,,44,1.00,,,89,88,522,11.9,,,,,,2.02,2
1928,NHL,BOS,SC,1,,44,26,13,5,,57,1.30,,,89,52,474,10.8,,,,,,2.02,1.18
1928,NHL,CHI,,0,,44,7,29,8,,22,0.50,,,33,85,363,8.3,,,,,,0.75,1.93
1928,NHL,DTC,QF,1,,44,19,16,9,,47,1.07,,,72,63,381,8.7,,,,,,1.64,1.43
1928,NHL,MTL,SF,1,,44,22,7,15,,59,1.34,,,71,43,465,10.6,,,,,,1.61,0.98
1928,NHL,MTM,,0,,44,15,20,9,,39,0.89,,,67,65,636,14.5,,,,,,1.52,1.48
1928,NHL,NYA,QF,1,,44,19,13,12,,50,1.14,,,53,53,486,11.0,,,,,,1.2,1.2
1928,NHL,NYR,F,1,,44,21,13,10,,52,1.18,,,72,65,382,8.7,,,,,,1.64,1.48
1928,NHL,OTS,,0,,44,14,17,13,,41,0.93,,,54,67,463,10.5,,,,,,1.23,1.52
1928,NHL,PIP,,0,,44,9,27,8,,26,0.59,,,46,80,324,7.4,,,,,,1.05,1.82
1928,NHL,TOR,SF,1,,44,21,18,5,,47,1.07,,,85,69,540,12.3,,,,,,1.93,1.57
1929,NHL,BOS,F,1,,44,38,5,1,,77,1.75,,,179,98,447,10.2,,,,,,4.07,2.23
1929,NHL,CHI,QF,1,,44,21,18,5,,47,1.07,,,117,111,573,13.0,,,,,,2.66,2.52
1929,NHL,DTC,,0,,44,14,24,6,,34,0.77,,,117,133,473,10.8,,,,,,2.66,3.02
1929,NHL,MTL,SC,1,,44,21,14,9,,51,1.16,,,142,114,596,13.5,,,,,,3.23,2.59
1929,NHL,MTM,SF,1,,44,23,16,5,,51,1.16,,,141,114,655,14.9,,,,,,3.2,2.59
1929,NHL,NYA,,0,,44,14,25,5,,33,0.75,,,113,161,384,8.7,,,,,,2.57,3.66
1929,NHL,NYR,SF,1,,44,17,17,10,,44,1.00,,,136,143,437,9.9,,,,,,3.09,3.25
1929,NHL,OTS,QF,1,,44,21,15,8,,50,1.14,,,138,118,558,12.7,,,,,,3.14,2.68
1929,NHL,PIP,,0,,44,5,36,3,,13,0.30,,,102,185,364,8.3,,,,,,2.32,4.2
1929,NHL,TOR,,0,,44,17,21,6,,40,0.91,,,116,124,607,13.8,,,,,,2.64,2.82
1930,NHL,BOS,SF,1,,44,28,10,6,,62,1.41,,,143,90,460,10.5,,,,,,3.25,2.05
1930,NHL,CHI,F,1,,44,24,17,3,,51,1.16,,,108,78,407,9.3,,,,,,2.45,1.77
1930,NHL,DTF,,0,,44,16,21,7,,39,0.89,,,102,105,411,9.3,,,,,,2.32,2.39
1930,NHL,MTL,SC,1,,44,26,10,8,,60,1.36,,,129,89,602,13.7,,,,,,2.93,2.02
1930,NHL,MTM,QF,1,,44,20,18,6,,46,1.05,,,105,106,606,13.8,,,,,,2.39,2.41
1930,NHL,NYA,,0,,44,18,16,10,,46,1.05,,,76,74,503,11.4,,,,,,1.73,1.68
1930,NHL,NYR,SF,1,,44,19,16,9,,47,1.07,,,106,87,516,11.7,,,,,,2.41,1.98
1930,NHL,OTS,,0,,44,10,30,4,,24,0.55,,,91,142,486,11.0,,,,,,2.07,3.23
1930,NHL,PHQ,,0,,44,4,36,4,,12,0.27,,,76,184,468,10.6,,,,,,1.73,4.18
1930,NHL,TOR,QF,1,,44,22,13,9,,53,1.20,,,118,99,512,11.6,,,,,,2.68,2.25
