,Year,LeagueID,TeamID,Playoff,MadePlayoff,Unnamed,Games Played,Wins,Losses,Ties,Overtime_Losses,Total_Points,Points_Per_Game,Shootout_Wins,Shootout_Losses,Goals_For,Goals_Against,Penalty_Minutes,Penalty_Minutes_Per_Game,Power_Play_Goals,Power_Play_Chances,Short_handed_Goals_Against,Penalty_Kill_Goals_Allowed,Penalty_Kill_Chances,Goals_For_Per_Game,GoalsAgainstPerGame
207,1947,NHL,CHI,,0,,60,20,34,6.0,,46,0.77,,,195,225,565,9.4,,,,,,3.25,3.75
208,1947,NHL,DET,Finals,1,,60,30,18,12.0,,72,1.2,,,187,148,593,9.9,,,,,,3.12,2.47
209,1947,NHL,MTL,,0,,60,20,29,11.0,,51,0.85,,,147,169,722,12.0,,,,,,2.45,2.82
210,1947,NHL,NYR,Semi-Finals,1,,60,21,26,13.0,,55,0.92,,,176,201,482,8.0,,,,,,2.93,3.35
211,1947,NHL,TOR,Stanley_Cup,1,,60,32,15,13.0,,77,1.28,,,182,143,765,12.8,,,,,,3.03,2.38
212,1948,NHL,BOS,Semi-Finals,1,,60,29,23,8.0,,66,1.1,,,178,163,434,7.2,,,,,,2.97,2.72
213,1948,NHL,CHI,,0,,60,21,31,8.0,,50,0.83,,,173,211,695,11.6,,,,,,2.88,3.52
214,1948,NHL,DET,Finals,1,,60,34,19,7.0,,75,1.25,,,195,145,621,10.4,,,,,,3.25,2.42
215,1948,NHL,MTL,Semi-Finals,1,,60,28,23,9.0,,65,1.08,,,152,126,782,13.0,,,,,,2.53,2.1
216,1948,NHL,NYR,,0,,60,18,31,11.0,,47,0.78,,,133,172,413,6.9,,,,,,2.22,2.87
217,1948,NHL,TOR,Stanley_Cup,1,,60,22,25,13.0,,57,0.95,,,147,161,706,11.8,,,,,,2.45,2.68
218,1949,NHL,BOS,,0,,70,22,32,16.0,,60,0.86,,,198,228,449,6.4,,,,,,2.83,3.26
219,1949,NHL,CHI,,0,,70,22,38,10.0,,54,0.77,,,203,244,620,8.9,,,,,,2.9,3.49
220,1949,NHL,DET,Stanley_Cup,1,,70,37,19,14.0,,88,1.26,,,229,164,736,10.5,,,,,,3.27,2.34
221,1949,NHL,MTL,Semi-Finals,1,,70,29,22,19.0,,77,1.1,,,172,150,736,10.5,,,,,,2.46,2.14
222,1949,NHL,NYR,Finals,1,,70,28,31,11.0,,67,0.96,,,170,189,639,9.1,,,,,,2.43,2.7
223,1949,NHL,TOR,Semi-Finals,1,,70,31,27,12.0,,74,1.06,,,176,173,804,11.5,,,,,,2.51,2.47
224,1950,NHL,BOS,Semi-Finals,1,,70,22,30,18.0,,62,0.89,,,178,197,654,9.3,,,,,,2.54,2.81
225,1950,NHL,CHI,,0,,70,13,47,10.0,,36,0.51,,,171,280,615,8.8,,,,,,2.44,4.0
226,1950,NHL,DET,Semi-Finals,1,,70,44,13,13.0,,101,1.44,,,236,139,566,8.1,,,,,,3.37,1.99
227,1950,NHL,MTL,Finals,1,,70,25,30,15.0,,65,0.93,,,173,184,835,11.9,,,,,,2.47,2.63
228,1950,NHL,NYR,,0,,70,20,29,21.0,,61,0.87,,,169,201,776,11.1,,,,,,2.41,2.87
229,1950,NHL,TOR,Stanley_Cup,1,,70,41,16,13.0,,95,1.36,,,212,138,823,11.8,,,,,,3.03,1.97
230,1951,NHL,BOS,Semi-Finals,1,,70,25,29,16.0,,66,0.94,,,162,176,601,8.6,,,,,,2.31,2.51
231,1951,NHL,CHI,,0,,70,17,44,9.0,,43,0.61,,,158,241,629,9.0,,,,,,2.26,3.44
232,1951,NHL,DET,Stanley_Cup,1,,70,44,14,12.0,,100,1.43,,,215,133,694,9.9,,,,,,3.07,1.9
233,1951,NHL,MTL,Finals,1,,70,34,26,10.0,,78,1.11,,,195,164,661,9.4,,,,,,2.79,2.34
234,1951,NHL,NYR,,0,,70,23,34,13.0,,59,0.84,,,192,219,530,7.6,,,,,,2.74,3.13
235,1951,NHL,TOR,Semi-Finals,1,,70,29,25,16.0,,74,1.06,,,168,157,841,12.0,,,,,,2.4,2.24
236,1952,NHL,BOS,Finals,1,,70,28,29,13.0,,69,0.99,,,152,172,528,7.5,,,,,,2.17,2.46
237,1952,NHL,CHI,Semi-Finals,1,,70,27,28,15.0,,69,0.99,,,169,175,736,10.5,,,,,,2.41,2.5
238,1952,NHL,DET,Semi-Finals,1,,70,36,16,18.0,,90,1.29,,,222,133,645,9.2,,,,,,3.17,1.9
239,1952,NHL,MTL,Stanley_Cup,1,,70,28,23,19.0,,75,1.07,,,155,148,777,11.1,,,,,,2.21,2.11
240,1952,NHL,NYR,,0,,70,17,37,16.0,,50,0.71,,,152,211,548,7.8,,,,,,2.17,3.01
241,1952,NHL,TOR,,0,,70,27,30,13.0,,67,0.96,,,156,167,812,11.6,,,,,,2.23,2.39
242,1953,NHL,BOS,Semi-Finals,1,,70,32,28,10.0,,74,1.06,,,177,181,693,9.9,,,,,,2.53,2.59
243,1953,NHL,CHI,,0,,70,12,51,7.0,,31,0.44,,,133,242,787,11.2,,,,,,1.9,3.46
244,1953,NHL,DET,Stanley_Cup,1,,70,37,19,14.0,,88,1.26,,,191,132,814,11.6,,,,,,2.73,1.89
245,1953,NHL,MTL,Finals,1,,70,35,24,11.0,,81,1.16,,,195,141,1064,15.2,,,,,,2.79,2.01
246,1953,NHL,NYR,,0,,70,29,31,10.0,,68,0.97,,,161,182,717,10.2,,,,,,2.3,2.6
247,1953,NHL,TOR,Semi-Finals,1,,70,32,24,14.0,,78,1.11,,,152,131,1022,14.6,,,,,,2.17,1.87
248,1954,NHL,BOS,Semi-Finals,1,,70,23,26,21.0,,67,0.96,,,169,188,863,12.3,,,,,,2.41,2.69
249,1954,NHL,CHI,,0,,70,13,40,17.0,,43,0.61,,,161,235,733,10.5,,,,,,2.3,3.36
250,1954,NHL,DET,Stanley_Cup,1,,70,42,17,11.0,,95,1.36,,,204,134,827,11.8,,,,,,2.91,1.91
251,1954,NHL,MTL,Finals,1,,70,41,18,11.0,,93,1.33,,,228,157,890,12.7,,,,,,3.26,2.24
252,1954,NHL,NYR,,0,,70,17,35,18.0,,52,0.74,,,150,210,692,9.9,,,,,,2.14,3.0
253,1954,NHL,TOR,Semi-Finals,1,,70,24,24,22.0,,70,1.0,,,147,135,990,14.1,,,,,,2.1,1.93
254,1955,NHL,BOS,,0,,70,23,34,13.0,,59,0.84,,,147,185,929,13.3,,,,,,2.1,2.64
255,1955,NHL,CHI,,0,,70,19,39,12.0,,50,0.71,,,155,216,832,11.9,,,,,,2.21,3.09
256,1955,NHL,DET,Finals,1,,70,30,24,16.0,,76,1.09,,,183,148,788,11.3,,,,,,2.61,2.11
257,1955,NHL,MTL,Stanley_Cup,1,,70,45,15,10.0,,100,1.43,,,222,131,977,14.0,,,,,,3.17,1.87
258,1955,NHL,NYR,Semi-Finals,1,,70,32,28,10.0,,74,1.06,,,204,203,911,13.0,,,,,,2.91,2.9
259,1955,NHL,TOR,Semi-Finals,1,,70,24,33,13.0,,61,0.87,,,153,181,1051,15.0,,,,,,2.19,2.59
260,1956,NHL,BOS,Finals,1,,70,34,24,12.0,,80,1.14,,,195,174,978,14.0,,,,,,2.79,2.49
261,1956,NHL,CHI,,0,,70,16,39,15.0,,47,0.67,,,169,225,809,11.6,,,,,,2.41,3.21
262,1956,NHL,DET,Semi-Finals,1,,70,38,20,12.0,,88,1.26,,,198,157,656,9.4,,,,,,2.83,2.24
263,1956,NHL,MTL,Stanley_Cup,1,,70,35,23,12.0,,82,1.17,,,210,155,868,12.4,,,,,,3.0,2.21
264,1956,NHL,NYR,Semi-Finals,1,,70,26,30,14.0,,66,0.94,,,184,227,870,12.4,,,,,,2.63,3.24
265,1956,NHL,TOR,,0,,70,21,34,15.0,,57,0.81,,,174,192,829,11.8,,,,,,2.49,2.74
266,1957,NHL,BOS,Finals,1,,70,27,28,15.0,,69,0.99,,,199,194,849,12.1,,,,,,2.84,2.77
267,1957,NHL,CHI,,0,,70,24,39,7.0,,55,0.79,,,163,202,906,12.9,,,,,,2.33,2.89
268,1957,NHL,DET,Semi-Finals,1,,70,29,29,12.0,,70,1.0,,,176,207,758,10.8,,,,,,2.51,2.96
269,1957,NHL,MTL,Stanley_Cup,1,,70,43,17,10.0,,96,1.37,,,250,158,945,13.5,,,,,,3.57,2.26
270,1957,NHL,NYR,Semi-Finals,1,,70,32,25,13.0,,77,1.1,,,195,188,781,11.2,,,,,,2.79,2.69
271,1957,NHL,TOR,,0,,70,21,38,11.0,,53,0.76,,,192,226,861,12.3,,,,,,2.74,3.23
272,1958,NHL,BOS,Semi-Finals,1,,70,32,29,9.0,,73,1.04,,,205,215,838,12.0,,,,,,2.93,3.07
273,1958,NHL,CHI,Semi-Finals,1,,70,28,29,13.0,,69,0.99,,,197,208,921,13.2,,,,,,2.81,2.97
274,1958,NHL,DET,,0,,70,25,37,8.0,,58,0.83,,,167,218,613,8.8,,,,,,2.39,3.11
275,1958,NHL,MTL,Stanley_Cup,1,,70,39,18,13.0,,91,1.3,,,258,158,760,10.9,,,,,,3.69,2.26
276,1958,NHL,NYR,,0,,70,26,32,12.0,,64,0.91,,,201,217,860,12.3,,,,,,2.87,3.1
277,1958,NHL,TOR,Finals,1,,70,27,32,11.0,,65,0.93,,,189,201,846,12.1,,,,,,2.7,2.87
278,1959,NHL,BOS,,0,,70,28,34,8.0,,64,0.91,,,220,241,932,13.3,,,,,,3.14,3.44
279,1959,NHL,CHI,Semi-Finals,1,,70,28,29,13.0,,69,0.99,,,191,180,970,13.9,,,,,,2.73,2.57
280,1959,NHL,DET,Semi-Finals,1,,70,26,29,15.0,,67,0.96,,,186,197,538,7.7,,,,,,2.66,2.81
281,1959,NHL,MTL,Stanley_Cup,1,,70,40,18,12.0,,92,1.31,,,255,178,756,10.8,,,,,,3.64,2.54
282,1959,NHL,NYR,,0,,70,17,38,15.0,,49,0.7,,,187,247,850,12.1,,,,,,2.67,3.53
283,1959,NHL,TOR,Finals,1,,70,35,26,9.0,,79,1.13,,,199,195,859,12.3,,,,,,2.84,2.79
284,1960,NHL,BOS,,0,,70,15,42,13.0,,43,0.61,,,176,254,810,11.6,,,,,,2.51,3.63
285,1960,NHL,CHI,Stanley_Cup,1,,70,29,24,17.0,,75,1.07,,,198,180,1072,15.3,,,,,,2.83,2.57
286,1960,NHL,DET,Finals,1,,70,25,29,16.0,,66,0.94,,,195,215,655,9.4,,,,,,2.79,3.07
287,1960,NHL,MTL,Semi-Finals,1,,70,41,19,10.0,,92,1.31,,,254,188,811,11.6,,,,,,3.63,2.69
288,1960,NHL,NYR,,0,,70,22,38,10.0,,54,0.77,,,204,248,591,8.4,,,,,,2.91,3.54
289,1960,NHL,TOR,Semi-Finals,1,,70,39,19,12.0,,90,1.29,,,234,176,844,12.1,,,,,,3.34,2.51
290,1961,NHL,BOS,,0,,70,15,47,8.0,,38,0.54,,,177,306,712,10.2,,,,,,2.53,4.37
291,1961,NHL,CHI,Finals,1,,70,31,26,13.0,,75,1.07,,,217,186,894,12.8,,,,,,3.1,2.66
292,1961,NHL,DET,,0,,70,23,33,14.0,,60,0.86,,,184,219,712,10.2,,,,,,2.63,3.13
293,1961,NHL,MTL,Semi-Finals,1,,70,42,14,14.0,,98,1.4,,,259,166,818,11.7,,,,,,3.7,2.37
294,1961,NHL,NYR,Semi-Finals,1,,70,26,32,12.0,,64,0.91,,,195,207,644,9.2,,,,,,2.79,2.96
295,1961,NHL,TOR,Stanley_Cup,1,,70,37,22,11.0,,85,1.21,,,232,180,762,10.9,,,,,,3.31,2.57
296,1962,NHL,BOS,,0,,70,14,39,17.0,,45,0.64,,,198,281,636,9.1,,,,,,2.83,4.01
297,1962,NHL,CHI,Semi-Finals,1,,70,32,21,17.0,,81,1.16,,,194,178,906,12.9,,,,,,2.77,2.54
298,1962,NHL,DET,Finals,1,,70,32,25,13.0,,77,1.1,,,200,194,964,13.8,,,,,,2.86,2.77
299,1962,NHL,MTL,Semi-Finals,1,,70,28,19,23.0,,79,1.13,,,225,183,751,10.7,,,,,,3.21,2.61
300,1962,NHL,NYR,,0,,70,22,36,12.0,,56,0.8,,,211,233,657,9.4,,,,,,3.01,3.33
301,1962,NHL,TOR,Stanley_Cup,1,,70,35,23,12.0,,82,1.17,,,221,180,816,11.7,,,,,,3.16,2.57
302,1963,NHL,BOS,,0,,70,18,40,12.0,,48,0.69,,,170,212,858,12.3,28.0,220.0,4.0,45.0,242.0,2.43,3.03
303,1963,NHL,CHI,Semi-Finals,1,,70,36,22,12.0,,84,1.2,,,218,169,1116,15.9,51.0,279.0,2.0,43.0,301.0,3.11,2.41
304,1963,NHL,DET,Finals,1,,70,30,29,11.0,,71,1.01,,,191,204,771,11.0,42.0,240.0,5.0,36.0,267.0,2.73,2.91
305,1963,NHL,MTL,Semi-Finals,1,,70,36,21,13.0,,85,1.21,,,209,167,982,14.0,46.0,294.0,7.0,42.0,248.0,2.99,2.39
306,1963,NHL,NYR,,0,,70,22,38,10.0,,54,0.77,,,186,242,715,10.2,40.0,253.0,6.0,44.0,206.0,2.66,3.46
307,1963,NHL,TOR,Stanley_Cup,1,,70,33,25,12.0,,78,1.11,,,192,172,928,13.3,33.0,244.0,6.0,30.0,266.0,2.74,2.46
308,1964,NHL,BOS,,0,,70,21,43,6.0,,48,0.69,,,166,253,946,13.5,25.0,254.0,10.0,52.0,293.0,2.37,3.61
309,1964,NHL,CHI,Finals,1,,70,34,28,8.0,,76,1.09,,,224,176,1051,15.0,48.0,340.0,9.0,46.0,323.0,3.2,2.51
310,1964,NHL,DET,Semi-Finals,1,,70,40,23,7.0,,87,1.24,,,224,175,1121,16.0,55.0,316.0,7.0,52.0,312.0,3.2,2.5
311,1964,NHL,MTL,Stanley_Cup,1,,70,36,23,11.0,,83,1.19,,,211,185,1033,14.8,57.0,328.0,8.0,42.0,301.0,3.01,2.64
312,1964,NHL,NYR,,0,,70,20,38,12.0,,52,0.74,,,179,246,760,10.9,55.0,321.0,9.0,43.0,267.0,2.56,3.51
313,1964,NHL,TOR,Semi-Finals,1,,70,30,26,14.0,,74,1.06,,,204,173,1068,15.3,51.0,280.0,12.0,56.0,343.0,2.91,2.47
314,1965,NHL,BOS,,0,,70,21,43,6.0,,48,0.69,,,174,275,787,11.2,30.0,255.0,6.0,53.0,252.0,2.49,3.93
315,1965,NHL,CHI,Semi-Finals,1,,70,37,25,8.0,,82,1.17,,,240,187,815,11.6,70.0,281.0,4.0,40.0,251.0,3.43,2.67
316,1965,NHL,DET,Finals,1,,70,31,27,12.0,,74,1.06,,,221,194,804,11.5,42.0,245.0,9.0,44.0,273.0,3.16,2.77
317,1965,NHL,MTL,Stanley_Cup,1,,70,41,21,8.0,,90,1.29,,,239,173,884,12.6,61.0,260.0,3.0,46.0,247.0,3.41,2.47
318,1965,NHL,NYR,,0,,70,18,41,11.0,,47,0.67,,,195,261,894,12.8,44.0,282.0,2.0,63.0,282.0,2.79,3.73
319,1965,NHL,TOR,Semi-Finals,1,,70,34,25,11.0,,79,1.13,,,208,187,811,11.6,52.0,256.0,4.0,53.0,274.0,2.97,2.67
320,1966,NHL,BOS,,0,,70,17,43,10.0,,44,0.63,,,182,253,764,10.9,34.0,250.0,9.0,53.0,240.0,2.6,3.61
321,1966,NHL,CHI,Semi-Finals,1,,70,41,17,12.0,,94,1.34,,,264,170,757,10.8,51.0,232.0,3.0,37.0,234.0,3.77,2.43
322,1966,NHL,DET,,0,,70,27,39,4.0,,58,0.83,,,212,241,719,10.3,46.0,230.0,7.0,46.0,246.0,3.03,3.44
323,1966,NHL,MTL,Finals,1,,70,32,25,13.0,,77,1.1,,,202,188,879,12.6,50.0,248.0,4.0,31.0,237.0,2.89,2.69
324,1966,NHL,NYR,Semi-Finals,1,,70,30,28,12.0,,72,1.03,,,188,189,664,9.5,35.0,199.0,4.0,30.0,199.0,2.69,2.7
325,1966,NHL,TOR,Stanley_Cup,1,,70,32,27,11.0,,75,1.07,,,204,211,736,10.5,37.0,237.0,6.0,56.0,240.0,2.91,3.01
326,1967,NHL,BOS,Quarter-Finals,1,,74,37,27,10.0,,84,1.14,,,259,216,1031,13.9,45.0,236.0,4.0,50.0,288.0,3.5,2.92
327,1967,NHL,CHI,Semi-Finals,1,,74,32,26,16.0,,80,1.08,,,212,222,602,8.1,37.0,234.0,6.0,37.0,218.0,2.86,3.0
328,1967,NHL,DET,,0,,74,27,35,12.0,,66,0.89,,,245,257,753,10.2,43.0,224.0,5.0,54.0,270.0,3.31,3.47
329,1967,NHL,LAK,Quarter-Finals,1,,74,31,33,10.0,,72,0.97,,,200,224,808,10.9,33.0,241.0,3.0,54.0,274.0,2.7,3.03
330,1967,NHL,MNS,Semi-Finals,1,,74,27,32,15.0,,69,0.93,,,191,226,714,9.6,55.0,261.0,8.0,29.0,216.0,2.58,3.05
331,1967,NHL,MTL,Stanley_Cup,1,,74,42,22,10.0,,94,1.27,,,236,167,698,9.4,50.0,245.0,3.0,34.0,205.0,3.19,2.26
332,1967,NHL,NYR,Quarter-Finals,1,,74,39,23,12.0,,90,1.22,,,226,183,669,9.0,46.0,217.0,7.0,42.0,223.0,3.05,2.47
333,1967,NHL,OAK,,0,,74,15,42,17.0,,47,0.64,,,153,219,777,10.5,41.0,259.0,6.0,45.0,259.0,2.07,2.96
334,1967,NHL,PHI,Quarter-Finals,1,,74,31,32,11.0,,73,0.99,,,173,179,979,13.2,33.0,269.0,2.0,49.0,290.0,2.34,2.42
335,1967,NHL,PIT,,0,,74,27,34,13.0,,67,0.91,,,195,216,548,7.4,37.0,273.0,11.0,30.0,195.0,2.64,2.92
336,1967,NHL,STL,Finals,1,,74,27,31,16.0,,70,0.95,,,177,191,790,10.7,38.0,223.0,7.0,39.0,245.0,2.39,2.58
337,1967,NHL,TOR,,0,,74,33,31,10.0,,76,1.03,,,209,176,626,8.5,33.0,231.0,8.0,28.0,230.0,2.82,2.38
338,1968,NHL,BOS,Semi-Finals,1,,76,42,18,16.0,,100,1.32,,,303,221,1291,17.0,60.0,266.0,4.0,54.0,351.0,3.99,2.91
339,1968,NHL,CHI,,0,,76,34,33,9.0,,77,1.01,,,280,246,832,10.9,56.0,280.0,3.0,50.0,274.0,3.68,3.24
340,1968,NHL,DET,,0,,76,33,31,12.0,,78,1.03,,,239,221,885,11.6,40.0,230.0,4.0,61.0,298.0,3.14,2.91
341,1968,NHL,LAK,Semi-Finals,1,,76,24,42,10.0,,58,0.76,,,185,260,688,9.1,31.0,241.0,7.0,53.0,254.0,2.43,3.42
342,1968,NHL,MNS,,0,,76,18,43,15.0,,51,0.67,,,189,270,854,11.2,47.0,246.0,8.0,41.0,249.0,2.49,3.55
343,1968,NHL,MTL,Stanley_Cup,1,,76,46,19,11.0,,103,1.36,,,271,202,776,10.2,43.0,243.0,4.0,40.0,233.0,3.57,2.66
344,1968,NHL,NYR,Quarter-Finals,1,,76,41,26,9.0,,91,1.2,,,231,196,806,10.6,56.0,275.0,9.0,35.0,223.0,3.04,2.58
345,1968,NHL,OAK,Quarter-Finals,1,,76,29,36,11.0,,69,0.91,,,219,251,807,10.6,44.0,286.0,5.0,42.0,226.0,2.88,3.3
346,1968,NHL,PHI,Quarter-Finals,1,,76,20,35,21.0,,61,0.8,,,174,225,954,12.6,40.0,263.0,8.0,44.0,286.0,2.29,2.96
347,1968,NHL,PIT,,0,,76,20,45,11.0,,51,0.67,,,189,252,669,8.8,50.0,303.0,9.0,38.0,231.0,2.49,3.32
348,1968,NHL,STL,Finals,1,,76,37,25,14.0,,88,1.16,,,204,157,824,10.8,38.0,250.0,6.0,45.0,242.0,2.68,2.07
349,1968,NHL,TOR,Quarter-Finals,1,,76,35,26,15.0,,85,1.12,,,234,217,950,12.5,45.0,278.0,5.0,46.0,294.0,3.08,2.86
350,1969,NHL,BOS,Stanley_Cup,1,,76,40,17,19.0,,99,1.3,,,277,216,1196,15.7,81.0,279.0,4.0,80.0,360.0,3.64,2.84
351,1969,NHL,CHI,Semi-Finals,1,,76,45,22,9.0,,99,1.3,,,250,170,901,11.9,55.0,270.0,7.0,32.0,247.0,3.29,2.24
352,1969,NHL,DET,Quarter-Finals,1,,76,40,21,15.0,,95,1.25,,,246,199,907,11.9,57.0,267.0,3.0,57.0,300.0,3.24,2.62
353,1969,NHL,LAK,,0,,76,14,52,10.0,,38,0.5,,,168,290,969,12.8,39.0,275.0,11.0,67.0,297.0,2.21,3.82
354,1969,NHL,MNS,Quarter-Finals,1,,76,19,35,22.0,,60,0.79,,,224,257,1008,13.3,57.0,274.0,7.0,65.0,284.0,2.95,3.38
355,1969,NHL,MTL,,0,,76,38,22,16.0,,92,1.21,,,244,201,892,11.7,57.0,281.0,1.0,48.0,263.0,3.21,2.64
356,1969,NHL,NYR,Quarter-Finals,1,,76,38,22,16.0,,92,1.21,,,246,189,853,11.2,52.0,295.0,7.0,40.0,269.0,3.24,2.49
357,1969,NHL,OAK,Quarter-Finals,1,,76,22,40,14.0,,58,0.76,,,169,243,845,11.1,45.0,324.0,12.0,49.0,258.0,2.22,3.2
358,1969,NHL,PHI,,0,,76,17,35,24.0,,58,0.76,,,197,225,1123,14.8,46.0,296.0,9.0,58.0,311.0,2.59,2.96
359,1969,NHL,PIT,Semi-Finals,1,,76,26,38,12.0,,64,0.84,,,182,238,1038,13.7,53.0,315.0,5.0,66.0,282.0,2.39,3.13
360,1969,NHL,STL,Finals,1,,76,37,27,12.0,,86,1.13,,,224,179,876,11.5,72.0,287.0,9.0,41.0,265.0,2.95,2.36
361,1969,NHL,TOR,,0,,76,29,34,13.0,,71,0.93,,,222,242,898,11.8,49.0,242.0,7.0,60.0,269.0,2.92,3.18
362,1970,NHL,BOS,Quarter-Finals,1,,78,57,14,7.0,,121,1.55,,,399,207,1156,14.8,80.0,289.0,4.0,53.0,336.0,5.12,2.65
363,1970,NHL,BUF,,0,,78,24,39,15.0,,63,0.81,,,217,291,1188,15.2,56.0,298.0,12.0,56.0,302.0,2.78,3.73
364,1970,NHL,CHI,Finals,1,,78,49,20,9.0,,107,1.37,,,277,184,1280,16.4,60.0,291.0,6.0,47.0,293.0,3.55,2.36
365,1970,NHL,CLF,,0,,78,20,53,5.0,,45,0.58,,,199,320,937,12.0,39.0,316.0,7.0,58.0,254.0,2.55,4.1
366,1970,NHL,DET,,0,,78,22,45,11.0,,55,0.71,,,209,308,988,12.7,48.0,245.0,10.0,66.0,284.0,2.68,3.95
367,1970,NHL,LAK,,0,,78,25,40,13.0,,63,0.81,,,239,303,775,9.9,41.0,267.0,10.0,53.0,227.0,3.06,3.88
368,1970,NHL,MNS,Semi-Finals,1,,78,28,34,16.0,,72,0.92,,,191,223,898,11.5,38.0,259.0,4.0,55.0,268.0,2.45,2.86
369,1970,NHL,MTL,Stanley_Cup,1,,78,42,23,13.0,,97,1.24,,,291,216,1271,16.3,71.0,286.0,6.0,49.0,319.0,3.73,2.77
370,1970,NHL,NYR,Semi-Finals,1,,78,49,18,11.0,,109,1.4,,,259,177,952,12.2,60.0,234.0,3.0,41.0,253.0,3.32,2.27
371,1970,NHL,PHI,Quarter-Finals,1,,78,28,33,17.0,,73,0.94,,,207,225,1060,13.6,42.0,272.0,8.0,50.0,305.0,2.65,2.88
372,1970,NHL,PIT,,0,,78,21,37,20.0,,62,0.79,,,221,240,1079,13.8,56.0,318.0,9.0,48.0,276.0,2.83,3.08
373,1970,NHL,STL,Quarter-Finals,1,,78,34,25,19.0,,87,1.12,,,223,208,1092,14.0,56.0,312.0,8.0,49.0,285.0,2.86,2.67
374,1970,NHL,TOR,Quarter-Finals,1,,78,37,33,8.0,,82,1.05,,,248,211,1133,14.5,53.0,290.0,6.0,46.0,283.0,3.18,2.71
375,1970,NHL,VAN,,0,,78,24,46,8.0,,56,0.72,,,229,296,1371,17.6,52.0,317.0,12.0,81.0,309.0,2.94,3.79
376,1971,NHL,BOS,Stanley_Cup,1,,78,54,13,11.0,,119,1.53,,,330,204,1112,14.3,74.0,256.0,2.0,51.0,290.0,4.23,2.62
377,1971,NHL,BUF,,0,,78,16,43,19.0,,51,0.65,,,203,289,831,10.7,57.0,308.0,7.0,56.0,281.0,2.6,3.71
378,1971,NHL,CHI,Semi-Finals,1,,78,46,17,15.0,,107,1.37,,,256,166,844,10.8,43.0,255.0,10.0,35.0,240.0,3.28,2.13
379,1971,NHL,CLF,,0,,78,21,39,18.0,,60,0.77,,,216,288,1007,12.9,44.0,278.0,6.0,55.0,259.0,2.77,3.69
380,1971,NHL,DET,,0,,78,33,35,10.0,,76,0.97,,,261,262,850,10.9,58.0,280.0,9.0,45.0,261.0,3.35,3.36
381,1971,NHL,LAK,,0,,78,20,49,9.0,,49,0.63,,,206,305,719,9.2,38.0,272.0,7.0,50.0,210.0,2.64,3.91
382,1971,NHL,MNS,Quarter-Finals,1,,78,37,29,12.0,,86,1.1,,,212,191,853,10.9,53.0,262.0,6.0,49.0,277.0,2.72,2.45
383,1971,NHL,MTL,Quarter-Finals,1,,78,46,16,16.0,,108,1.38,,,307,205,783,10.0,72.0,266.0,4.0,41.0,245.0,3.94,2.63
384,1971,NHL,NYR,Finals,1,,78,48,17,13.0,,109,1.4,,,317,192,1010,12.9,60.0,257.0,10.0,44.0,282.0,4.06,2.46
385,1971,NHL,PHI,,0,,78,26,38,14.0,,66,0.85,,,200,236,1233,15.8,52.0,268.0,10.0,53.0,324.0,2.56,3.03
386,1971,NHL,PIT,Quarter-Finals,1,,78,26,38,14.0,,66,0.85,,,220,258,978,12.5,46.0,286.0,7.0,55.0,246.0,2.82,3.31
387,1971,NHL,STL,Semi-Finals,1,,78,28,39,11.0,,67,0.86,,,208,247,1150,14.7,38.0,270.0,11.0,65.0,280.0,2.67,3.17
388,1971,NHL,TOR,Quarter-Finals,1,,78,33,31,14.0,,80,1.03,,,209,208,887,11.4,48.0,252.0,7.0,60.0,266.0,2.68,2.67
389,1971,NHL,VAN,,0,,78,20,50,8.0,,48,0.62,,,203,297,1092,14.0,48.0,261.0,9.0,72.0,310.0,2.6,3.81
390,1972,NHL,ATF,,0,,78,25,38,15.0,,65,0.83,,,191,239,852,10.9,38.0,265.0,5.0,48.0,266.0,2.45,3.06
391,1972,NHL,BOS,Quarter-Finals,1,,78,51,22,5.0,,107,1.37,,,330,235,1097,14.1,67.0,241.0,5.0,43.0,275.0,4.23,3.01
392,1972,NHL,BUF,Quarter-Finals,1,,78,37,27,14.0,,88,1.13,,,257,219,940,12.1,52.0,270.0,5.0,35.0,241.0,3.29,2.81
393,1972,NHL,CHI,Finals,1,,78,42,27,9.0,,93,1.19,,,284,225,864,11.1,52.0,244.0,4.0,51.0,255.0,3.64,2.88
394,1972,NHL,CLF,,0,,78,16,46,16.0,,48,0.62,,,213,323,840,10.8,41.0,250.0,4.0,56.0,242.0,2.73,4.14
395,1972,NHL,DET,,0,,78,37,29,12.0,,86,1.1,,,265,243,893,11.4,53.0,268.0,8.0,40.0,261.0,3.4,3.12
396,1972,NHL,LAK,,0,,78,31,36,11.0,,73,0.94,,,232,245,888,11.4,52.0,295.0,10.0,31.0,229.0,2.97,3.14
397,1972,NHL,MNS,Quarter-Finals,1,,78,37,30,11.0,,85,1.09,,,254,230,881,11.3,37.0,237.0,7.0,59.0,265.0,3.26,2.95
398,1972,NHL,MTL,Stanley_Cup,1,,78,52,10,16.0,,120,1.54,,,329,184,783,10.0,52.0,239.0,4.0,37.0,235.0,4.22,2.36
399,1972,NHL,NYI,,0,,78,12,60,6.0,,30,0.38,,,170,347,881,11.3,28.0,258.0,13.0,63.0,261.0,2.18,4.45
400,1972,NHL,NYR,Semi-Finals,1,,78,47,23,8.0,,102,1.31,,,297,208,765,9.8,54.0,238.0,5.0,39.0,250.0,3.81,2.67
