,Year,LeagueID,TeamID,Playoff,MadePlayoff,Unnamed,Games Played,Wins,Losses,Ties,Overtime_Losses,Total_Points,Points_Per_Game,Shootout_Wins,Shootout_Losses,Goals_For,Goals_Against,Penalty_Minutes,Penalty_Minutes_Per_Game,Power_Play_Goals,Power_Play_Chances,Short_handed_Goals_Against,Penalty_Kill_Goals_Allowed,Penalty_Kill_Chances,Goals_For_Per_Game,GoalsAgainstPerGame
47,1926,NHL,PIP,,0,,44,15,26,3.0,,33,0.75,,,79,108,222,5.0,,,,,,1.8,2.45
48,1926,NHL,TRS,,0,,44,15,24,5.0,,35,0.8,,,79,94,546,12.4,,,,,,1.8,2.14
49,1927,NHL,BOS,Semi-Finals,1,,44,20,13,11.0,,51,1.16,,,77,70,557,12.7,,,,,,1.75,1.59
50,1927,NHL,CHI,,0,,44,7,34,3.0,,17,0.39,,,68,134,377,8.6,,,,,,1.55,3.05
51,1927,NHL,DTC,,0,,44,19,19,6.0,,44,1.0,,,88,79,395,9.0,,,,,,2.0,1.8
52,1927,NHL,MTL,Semi-Finals,1,,44,26,11,7.0,,59,1.34,,,116,48,496,11.3,,,,,,2.64,1.09
53,1927,NHL,MTM,Finals,1,,44,24,14,6.0,,54,1.23,,,96,77,588,13.4,,,,,,2.18,1.75
54,1927,NHL,NYA,,0,,44,11,27,6.0,,28,0.64,,,63,128,590,13.4,,,,,,1.43,2.91
55,1927,NHL,NYR,Stanley_Cup,1,,44,19,16,9.0,,47,1.07,,,94,79,463,10.5,,,,,,2.14,1.8
56,1927,NHL,OTS,Quarter-Finals,1,,44,20,14,10.0,,50,1.14,,,78,57,483,11.0,,,,,,1.77,1.3
57,1927,NHL,PIP,Quarter-Finals,1,,44,19,17,8.0,,46,1.05,,,67,76,424,9.6,,,,,,1.52,1.73
58,1927,NHL,TOR,,0,,44,18,18,8.0,,44,1.0,,,89,88,522,11.9,,,,,,2.02,2.0
59,1928,NHL,BOS,Stanley_Cup,1,,44,26,13,5.0,,57,1.3,,,89,52,474,10.8,,,,,,2.02,1.18
60,1928,NHL,CHI,,0,,44,7,29,8.0,,22,0.5,,,33,85,363,8.3,,,,,,0.75,1.93
61,1928,NHL,DTC,Quarter-Finals,1,,44,19,16,9.0,,47,1.07,,,72,63,381,8.7,,,,,,1.64,1.43
62,1928,NHL,MTL,Semi-Finals,1,,44,22,7,15.0,,59,1.34,,,71,43,465,10.6,,,,,,1.61,0.98
63,1928,NHL,MTM,,0,,44,15,20,9.0,,39,0.89,,,67,65,636,14.5,,,,,,1.52,1.48
64,1928,NHL,NYA,Quarter-Finals,1,,44,19,13,12.0,,50,1.14,,,53,53,486,11.0,,,,,,1.2,1.2
65,1928,NHL,NYR,Finals,1,,44,21,13,10.0,,52,1.18,,,72,65,382,8.7,,,,,,1.64,1.48
66,1928,NHL,OTS,,0,,44,14,17,13.0,,41,0.93,,,54,67,463,10.5,,,,,,1.23,1.52
67,1928,NHL,PIP,,0,,44,9,27,8.0,,26,0.59,,,46,80,324,7.4,,,,,,1.05,1.82
68,1928,NHL,TOR,Semi-Finals,1,,44,21,18,5.0,,47,1.07,,,85,69,540,12.3,,,,,,1.93,1.57
69,1929,NHL,BOS,Finals,1,,44,38,5,1.0,,77,1.75,,,179,98,447,10.2,,,,,,4.07,2.23
70,1929,NHL,CHI,Quarter-Finals,1,,44,21,18,5.0,,47,1.07,,,117,111,573,13.0,,,,,,2.66,2.52
71,1929,NHL,DTC,,0,,44,14,24,6.0,,34,0.77,,,117,133,473,10.8,,,,,,2.66,3.02
72,1929,NHL,MTL,Stanley_Cup,1,,44,21,14,9.0,,51,1.16,,,142,114,596,13.5,,,,,,3.23,2.59
73,1929,NHL,MTM,Semi-Finals,1,,44,23,16,5.0,,51,1.16,,,141,114,655,14.9,,,,,,3.2,2.59
74,1929,NHL,NYA,,0,,44,14,25,5.0,,33,0.75,,,113,161,384,8.7,,,,,,2.57,3.66
75,1929,NHL,NYR,Semi-Finals,1,,44,17,17,10.0,,44,1.0,,,136,143,437,9.9,,,,,,3.09,3.25
76,1929,NHL,OTS,Quarter-Finals,1,,44,21,15,8.0,,50,1.14,,,138,118,558,12.7,,,,,,3.14,2.68
77,1929,NHL,PIP,,0,,44,5,36,3.0,,13,0.3,,,102,185,364,8.3,,,,,,2.32,4.2
78,1929,NHL,TOR,,0,,44,17,21,6.0,,40,0.91,,,116,124,607,13.8,,,,,,2.64,2.82
79,1930,NHL,BOS,Semi-Finals,1,,44,28,10,6.0,,62,1.41,,,143,90,460,10.5,,,,,,3.25,2.05
80,1930,NHL,CHI,Finals,1,,44,24,17,3.0,,51,1.16,,,108,78,407,9.3,,,,,,2.45,1.77
81,1930,NHL,DTF,,0,,44,16,21,7.0,,39,0.89,,,102,105,411,9.3,,,,,,2.32,2.39
82,1930,NHL,MTL,Stanley_Cup,1,,44,26,10,8.0,,60,1.36,,,129,89,602,13.7,,,,,,2.93,2.02
83,1930,NHL,MTM,Quarter-Finals,1,,44,20,18,6.0,,46,1.05,,,105,106,606,13.8,,,,,,2.39,2.41
84,1930,NHL,NYA,,0,,44,18,16,10.0,,46,1.05,,,76,74,503,11.4,,,,,,1.73,1.68
85,1930,NHL,NYR,Semi-Finals,1,,44,19,16,9.0,,47,1.07,,,106,87,516,11.7,,,,,,2.41,1.98
86,1930,NHL,OTS,,0,,44,10,30,4.0,,24,0.55,,,91,142,486,11.0,,,,,,2.07,3.23
87,1930,NHL,PHQ,,0,,44,4,36,4.0,,12,0.27,,,76,184,468,10.6,,,,,,1.73,4.18
88,1930,NHL,TOR,Quarter-Finals,1,,44,22,13,9.0,,53,1.2,,,118,99,512,11.6,,,,,,2.68,2.25
89,1931,NHL,BOS,,0,,48,15,21,12.0,,42,0.88,,,122,117,372,7.8,,,,,,2.54,2.44
90,1931,NHL,CHI,Quarter-Finals,1,,48,18,19,11.0,,47,0.98,,,86,101,469,9.8,,,,,,1.79,2.1
91,1931,NHL,DTF,Quarter-Finals,1,,48,18,20,10.0,,46,0.96,,,95,108,419,8.7,,,,,,1.98,2.25
92,1931,NHL,MTL,Semi-Finals,1,,48,25,16,7.0,,57,1.19,,,128,111,448,9.3,,,,,,2.67,2.31
93,1931,NHL,MTM,Semi-Finals,1,,48,19,22,7.0,,45,0.94,,,142,139,593,12.4,,,,,,2.96,2.9
94,1931,NHL,NYA,,0,,48,16,24,8.0,,40,0.83,,,95,142,589,12.3,,,,,,1.98,2.96
95,1931,NHL,NYR,Finals,1,,48,23,17,8.0,,54,1.13,,,134,112,511,10.6,,,,,,2.79,2.33
96,1931,NHL,TOR,Stanley_Cup,1,,48,23,18,7.0,,53,1.1,,,155,127,625,13.0,,,,,,3.23,2.65
97,1932,NHL,BOS,Semi-Finals,1,,48,25,15,8.0,,58,1.21,,,124,88,517,10.8,,,,,,2.58,1.83
98,1932,NHL,CHI,,0,,48,16,20,12.0,,44,0.92,,,88,101,401,8.4,,,,,,1.83,2.1
99,1932,NHL,DET,Semi-Finals,1,,48,25,15,8.0,,58,1.21,,,111,93,462,9.6,,,,,,2.31,1.94
100,1932,NHL,MTL,Quarter-Finals,1,,48,18,25,5.0,,41,0.85,,,92,115,482,10.0,,,,,,1.92,2.4
101,1932,NHL,MTM,Quarter-Finals,1,,48,22,20,6.0,,50,1.04,,,135,119,442,9.2,,,,,,2.81,2.48
102,1932,NHL,NYA,,0,,48,15,22,11.0,,41,0.85,,,91,118,478,10.0,,,,,,1.9,2.46
103,1932,NHL,NYR,Stanley_Cup,1,,48,23,17,8.0,,54,1.13,,,135,107,599,12.5,,,,,,2.81,2.23
104,1932,NHL,OTS,,0,,48,11,27,10.0,,32,0.67,,,88,131,398,8.3,,,,,,1.83,2.73
105,1932,NHL,TOR,Finals,1,,48,24,18,6.0,,54,1.13,,,119,111,624,13.0,,,,,,2.48,2.31
106,1933,NHL,BOS,,0,,48,18,25,5.0,,41,0.85,,,111,130,378,7.9,,,,,,2.31,2.71
107,1933,NHL,CHI,Stanley_Cup,1,,48,20,17,11.0,,51,1.06,,,88,83,335,7.0,,,,,,1.83,1.73
108,1933,NHL,DET,Finals,1,,48,24,14,10.0,,58,1.21,,,113,98,368,7.7,,,,,,2.35,2.04
109,1933,NHL,MTL,Quarter-Finals,1,,48,22,20,6.0,,50,1.04,,,99,101,308,6.4,,,,,,2.06,2.1
110,1933,NHL,MTM,Semi-Finals,1,,48,19,18,11.0,,49,1.02,,,117,122,414,8.6,,,,,,2.44,2.54
111,1933,NHL,NYA,,0,,48,15,23,10.0,,40,0.83,,,104,132,374,7.8,,,,,,2.17,2.75
112,1933,NHL,NYR,Quarter-Finals,1,,48,21,19,8.0,,50,1.04,,,120,113,401,8.4,,,,,,2.5,2.35
113,1933,NHL,OTS,,0,,48,13,29,6.0,,32,0.67,,,115,143,352,7.3,,,,,,2.4,2.98
114,1933,NHL,TOR,Semi-Finals,1,,48,26,13,9.0,,61,1.27,,,174,119,529,11.0,,,,,,3.62,2.48
