tmno,year_,lgid,tmid,franchid,teamname,lat,long,conference,totalseasons,pointpercent,playoffseasons,playoffpercent,scappearances,stanleycupwins,active,lastseason,teamchange,teamchangelat,teamchangelong,nhlaffiliate,ahlaffiliate,echlaffiliate
1,1917,NHL,MTL,MTL,Montreal Canadiens,45.49611,-73.56944,Eastern,106,0.58,85,0.802,33,23,yes,2022,n/a,0.0,0.0,n/a,Laval Rocket,Trois-Rivieres Lions
2,1917,NHL,MTW,MTW,Montreal Wanderers,45.48,-73.59483,n/a,1,0.167,0,0.0,0,0,no,1917,n/a,0.0,0.0,n/a,n/a,n/a
3,1917,NHL,STE,STE,St. Louis Eagles,38.62667,-90.2025,n/a,18,0.514,10,0.556,4,4,no,1935,n/a,0.0,0.0,n/a,n/a,n/a
4,1917,NHL,TOR,TOR,Toronto Maple Leafs,43.64333,-79.37917,Eastern,106,0.518,72,0.679,21,13,yes,2022,n/a,0.0,0.0,n/a,Toronto Marlies,Newfoundland Growlers
5,1917,NHL,OTS,STE,Ottawa Senators,45.29694,-75.92722,n/a,17,0.534,0,0.0,0,0,moved,1934,St. Louis Eagles,38.62667,-90.2025,n/a,n/a,n/a
6,1917,NHL,TOA,TOR,Toronto Arenas,43.64333,-79.37917,n/a,2,0.45,0,0.0,0,0,moved,1919,Toronto St. Patricks,43.64333,-79.37917,n/a,n/a,n/a
7,1919,NHL,QUB,BKN,Quebec Bulldogs,46.49,-71.1351,n/a,1,0.167,0,0.0,0,0,moved,1920,Hamilton Tigers,43.1525,-79.5047,n/a,n/a,n/a
8,1919,NHL,BKN,BKN,Brooklyn Americans,40.75056,-73.99361,n/a,23,0.406,5,0.217,0,0,no,1942,n/a,0.0,0.0,n/a,n/a,n/a
9,1919,NHL,TRS,TOR,Toronto St. Patricks,43.64333,-79.37917,n/a,8,0.496,0,0.0,0,0,moved,1927,Toronto Maple Leafs,43.64333,-79.37917,n/a,n/a,n/a
10,1920,NHL,HAM,BKN,Hamilton Tigers,43.1525,-79.5047,n/a,5,0.377,0,0.0,0,0,moved,1925,New York Americans,40.75056,-73.99361,n/a,n/a,n/a
11,1924,NHL,BOS,BOS,Boston Bruins,42.3663,-71.06223,Eastern,99,0.568,76,0.768,20,6,yes,2022,n/a,0.0,0.0,n/a,Providence Bruins,Maine Mariners
12,1924,NHL,MTM,MTM,Montreal Maroons,45.49611,-73.56944,n/a,11,0.509,11,1.0,3,2,no,1935,n/a,0.0,0.0,n/a,n/a,n/a
13,1925,NHL,NYA,BKN,New York Americans,40.75056,-73.99361,n/a,16,0.409,0,0.0,0,0,moved,1941,Brooklyn Americans,40.75056,-73.99361,n/a,n/a,n/a
14,1925,NHL,PHQ,PHQ,Philadelphia Quakers,39.9579,-75.2117,n/a,6,0.33,2,0.333,0,0,no,1931,n/a,0.0,0.0,n/a,n/a,n/a
15,1925,NHL,PIP,PHQ,Pittsburgh Pirates,40.44748,-79.94902,n/a,5,0.37,0,0.0,0,0,moved,1930,Philadelphia Quakers,39.9579,-75.2117,n/a,n/a,n/a
16,1926,NHL,DTC,DET,Detroit Cougars,42.55126,-83.21786,n/a,4,0.435,0,0.0,0,0,moved,1930,Detroit Falcons,42.55126,-83.21786,n/a,n/a,n/a
