year,lgID,tmID,playoff,made_playoff,made_QF,made_CF,made_F,G,W,L,T,OTL,Pts,Pts/gm,SoW,SoL,GF,GA,PIM,PIM/gm,PPG,PPC,SHA,PKG,PKC,GF/gm,GA/gm,PPG/gm,PPG_eff,PKG/gm,PK_eff
1996,NHL,WAS,,0,0,0,0,82,33,40,9,,75,0.91,,,214,231,1652,20.1,51,322,10,54,354,2.61,2.82,0.62,0.158,0.66,0.153
1997,NHL,ANA,,0,0,0,0,82,26,43,13,,65,0.79,,,205,261,1843,22.5,46,392,10,72,396,2.5,3.18,0.56,0.117,0.88,0.182
1997,NHL,BOS,CQF,1,0,0,0,82,39,30,13,,91,1.11,,,221,194,1117,13.6,62,359,3,44,285,2.7,2.37,0.76,0.173,0.54,0.154
1997,NHL,BUF,CF,1,1,1,0,82,36,29,17,,89,1.09,,,211,187,1768,21.6,51,396,12,65,413,2.57,2.28,0.62,0.129,0.79,0.157
1997,NHL,CAL,,0,0,0,0,82,26,41,15,,67,0.82,,,217,252,1859,22.7,43,356,13,69,430,2.65,3.07,0.52,0.121,0.84,0.160
1997,NHL,CAR,,0,0,0,0,82,33,41,8,,74,0.90,,,200,219,1455,17.7,50,378,10,58,391,2.44,2.67,0.61,0.132,0.71,0.148
1997,NHL,CHI,,0,0,0,0,82,30,39,13,,73,0.89,,,192,199,1546,18.9,47,364,5,58,381,2.34,2.43,0.57,0.129,0.71,0.152
1997,NHL,COL,CQF,1,0,0,0,82,39,26,17,,95,1.16,,,231,205,1729,21.1,74,425,12,53,410,2.82,2.5,0.90,0.174,0.65,0.129
1997,NHL,DAL,CF,1,1,1,0,82,49,22,11,,109,1.33,,,242,167,1301,15.9,77,385,9,42,351,2.95,2.04,0.94,0.200,0.51,0.120
1997,NHL,DET,SC,1,1,1,1,82,44,23,15,,103,1.26,,,250,196,1346,16.4,67,381,7,51,376,3.05,2.39,0.82,0.176,0.62,0.136
1997,NHL,EDM,CSF,1,1,0,0,82,35,37,10,,80,0.98,,,215,224,1690,20.6,77,483,11,66,406,2.62,2.73,0.94,0.159,0.80,0.163
1997,NHL,FLO,,0,0,0,0,82,24,43,15,,63,0.77,,,203,256,1676,20.4,55,409,16,82,403,2.48,3.12,0.67,0.134,1.00,0.203
1997,NHL,LAK,CQF,1,0,0,0,82,38,33,11,,87,1.06,,,227,225,1763,21.5,52,366,12,63,399,2.77,2.74,0.63,0.142,0.77,0.158
1997,NHL,MTL,CSF,1,1,0,0,82,37,32,13,,87,1.06,,,235,208,1547,18.9,68,372,8,62,401,2.87,2.54,0.83,0.183,0.76,0.155
1997,NHL,NJD,CQF,1,0,0,0,82,48,23,11,,107,1.30,,,225,166,1488,18.1,63,333,9,41,309,2.74,2.02,0.77,0.189,0.50,0.133
1997,NHL,NYI,,0,0,0,0,82,30,41,11,,71,0.87,,,212,225,1646,20.1,61,364,16,54,384,2.59,2.74,0.74,0.168,0.66,0.141
1997,NHL,NYR,,0,0,0,0,82,25,39,18,,68,0.83,,,197,231,1548,18.9,62,351,13,55,376,2.4,2.82,0.76,0.177,0.67,0.146
