StadiumID,_Name,Capacity,_Location,GeoLat,GeoLong,Active
72,Idaho Central Arena,5002.0,233 S Capitol Blvd-Boise-ID-83702-USA,43.614,-116.204,False
74,Rod Laver Arena,14820.0,Olympic Blvd-Melbourne-Victoria-3001-Australia,-37.821667,144.978333,False
75,H-E-B Center at Cedar Park,8000.0,2100 Ave of the Stars-Cedar Park-TX-78613-USA,30.5414,-97.8202,False
77,Acrisure Arena,9918.0,75702 Varner Road-Palm Desert-CA-92211-USA,33.779167,-116.338889,False
78,Pechanga Arena,14600.0,3500 Sports Arena Blvd-San Diego-CA-92110-USA,32.755278,-117.212222,False
79,MetLife Stadium,82500.0,1 MetLife Stadium Dr-East Rutherford-NJ-07073-USA,40.813528,-74.074361,True
80,T-Mobile Park,47929.0,1250 1st Ave S-Seattle-WA-98134-USA,47.591358,-122.333,True
81,Commonwealth Stadium,56302.0,11000 Stadium Rd-Edmonton-AB-AB T5H 4E2-Canada,53.558333,-113.475,True
82,Centre 200,5000.0,481 George St-Sydney-NS-B1P 1K5-Canada,46.1375,-60.190278,False
83,Scotiabank Centre,11093.0,1800 Argyle St-Halifax-NS-B3J 2V9-Canada,44.648333,-63.576667,False
